,barrio_id,setu_ccnct,dane_area_m2,barrio_dane_id,perc_m2_barrio
0,0,080011000000003711,1377135.275,0,1.0
1,2,080011000000002902,1521532.942,1,1.0
2,3,080011000000002901,624520.4195,2,1.0
3,9,080011000000003606,471428.7217,3,1.0
4,10,080011000000000304,64745.00123,4,1.0
5,11,080011000000003601,163419.0234,5,1.0
6,14,080011000000003001,1063088.344,6,1.0
7,16,080011000000003501,379089.3939,7,1.0
8,17,080011000000002802,319548.7363,8,1.0
9,18,080011000000002803,974963.6106,9,0.577645986579997
10,18,080011000000003706,712858.4002,10,0.422354013420003
11,19,080011000000003502,407559.5648,11,1.0
12,20,080011000000003504,195840.6139,12,1.0
13,22,080011000000002804,362063.5316,13,1.0
14,23,080011000000002801,1668922.217,14,1.0
15,25,080011000000003701,275472.0199,15,1.0
16,26,080011000000003703,1131619.167,16,1.0
17,28,080011000000003203,711683.2592,17,1.0
18,30,080011000000003302,349392.0979,18,1.0
19,33,080011000000003503,586003.7926,19,1.0
20,34,080011000000003403,181429.7404,20,1.0
21,35,080011000000003202,239380.5994,21,1.0
22,36,080011000000002405,147669.5885,22,1.0
23,37,080011000000003201,522191.0036,23,1.0
24,39,080011000000002105,382757.3854,24,1.0
25,40,080011000000003402,542815.3882,25,1.0
26,41,080011000000003301,789288.6017,26,1.0
27,42,080011000000002404,368332.6608,27,1.0
28,43,080011000000001803,223609.0846,28,1.0
29,44,080011000000002602,1444285.708,29,1.0
30,45,080011000000001802,179040.6995,30,1.0
31,46,080011000000002201,1653161.711,31,1.0
32,47,080011000000003401,200773.405,32,1.0
33,50,080011000000001301,557705.1158,33,1.0
34,51,080011000000002701,1177021.131,34,0.556692408487774
35,51,080011000000003705,937290.3147,35,0.443307591512226
36,52,080011000000002303,377425.5461,36,1.0
37,54,080011000000002104,744152.7188,37,1.0
38,55,080011000000002403,300731.408,38,1.0
39,57,080011000000001405,145559.0953,39,1.0
40,58,080011000000002604,200295.6671,40,1.0
41,59,080011000000001206,487345.7843,41,1.0
42,60,080011000000002603,955713.9949,42,1.0
43,61,080011000000001604,180903.6513,43,1.0
44,62,080011000000002302,968547.3467,44,1.0
45,63,080011000000001902,640600.3662,45,1.0
46,64,080011000000002601,342548.0664,46,1.0
47,65,080011000000002301,529371.4729,47,1.0
48,67,080011000000002503,1016147.869,48,1.0
49,68,080011000000001205,669791.7051,49,1.0
50,69,080011000000001603,144206.1461,50,1.0
51,70,080011000000001502,55892.63534,51,0.140268681712048
52,70,080011000000002502,342575.7516,52,0.859731318287952
53,71,080011000000001702,88610.01256,53,1.0
54,72,080011000000001703,504138.7564,54,1.0
55,73,080011000000003704,386089.4984,55,1.0
56,74,080011000000002001,1412242.918,56,1.0
57,75,080011000000001204,1089686.529,57,1.0
58,76,080011000000001601,399379.0249,58,1.0
59,77,080011000000001602,153393.3061,59,1.0
60,78,080011000000002501,311142.945,60,1.0
61,79,080011000000001302,475978.5089,61,1.0
62,80,080011000000001303,124194.8843,62,1.0
63,81,080011000000001402,49825.84391,63,1.0
64,82,080011000000001501,759751.2284,64,1.0
65,83,080011000000002103,2755925.682,65,1.0
66,84,080011000000001901,1079689.946,66,1.0
67,85,080011000000001701,578113.6731,67,1.0
68,86,080011000000001801,828123.353,68,1.0
69,87,080011000000001404,254420.1831,69,1.0
70,89,080011000000001201,943768.3988,70,1.0
71,90,080011000000001401,372352.0927,71,1.0
72,92,080011000000001202,188486.876,72,1.0
73,93,080011000000000804,1007159.34,73,1.0
74,94,080011000000001403,1000793.905,74,1.0
75,95,080011000000001103,72133.07878,75,1.0
76,96,080011000000000805,888278.5777,76,1.0
77,97,080011000000000312,649429.7683,77,1.0
78,98,080011000000001001,1168219.609,78,1.0
79,99,080011000000000803,133244.9407,79,1.0
80,100,080011000000001105,95007.59574,80,1.0
81,101,080011000000000303,59602.34458,81,1.0
82,102,080011000000001106,231176.8733,82,1.0
83,103,080011000000001107,685481.2025,83,1.0
84,104,080011000000000802,902606.6444,84,1.0
85,105,080011000000000405,191027.5684,85,1.0
86,106,080011000000000406,1423606.007,86,1.0
87,107,080011000000000403,326920.908,87,1.0
88,108,080011000000000902,643916.5452,88,1.0
89,109,080011000000002102,2083307.552,89,1.0
90,110,080011000000000903,1012696.953,90,1.0
91,111,080011000000000901,69061.83282,91,1.0
92,112,080011000000000801,430814.1459,92,1.0
93,113,080011000000000402,276848.4379,93,1.0
94,114,080011000000000504,581589.2904,94,1.0
95,115,080011000000000308,239555.427,95,1.0
96,116,080011000000000306,106530.0749,96,1.0
97,117,080011000000000705,335515.7459,97,1.0
98,118,080011000000000309,241354.8297,98,1.0
99,120,080011000000000704,342648.6255,99,1.0
100,121,080011000000000305,437878.8991,100,1.0
101,122,080011000000000602,1364150.21,101,1.0
102,123,080011000000000310,143768.7518,102,1.0
103,124,080011000000000502,259637.0586,103,1.0
104,125,080011000000000313,2194254.552,104,1.0
105,126,080011000000000503,1352119.915,105,1.0
106,127,080011000000000311,379313.2222,106,1.0
107,128,080011000000000501,168162.0434,107,1.0
108,129,080011000000000307,391988.7835,108,1.0
109,130,080011000000000302,262265.0142,109,1.0
110,131,080011000000000301,894175.983,110,1.0
111,133,080011000000000202,143577.6691,111,1.0
112,134,080011000000000206,742410.8486,112,1.0
113,137,080011000000000203,141049.663,113,1.0
114,138,080011000000000104,180726.7636,114,1.0
115,139,080011000000000201,549639.8121,115,1.0
116,140,080011000000000103,97507.55857,116,1.0
117,141,080011000000000102,6551186.917,117,1.0
118,144,080011000000000701,2632949.279,118,0.481316581902036
119,144,080011000000002101,2837357.33,119,0.518683418097963
120,145,080011000000000101,1315118.23,120,1.0
121,147,080011000000000204,153681.7057,121,0.762807636693213
122,147,080011000000000205,47786.7882,122,0.237192363306787
123,148,080011000000003603,305287.0556,123,1.0
124,154,080011000000003605,133918.8022,124,1.0
125,157,080011000000001203,1047671.381,125,1.0
126,160,080011000000000401,264044.204,126,1.0
127,163,080011000000003604,41714.70648,127,1.0
128,164,080011000000003602,409733.6474,128,1.0
129,165,080011000000001101,167834.8201,129,1.0
130,167,080011000000000001,2355692.88,130,0.743737569461174
131,167,080011000000000002,313111.546,131,0.0988553398320204
132,167,080011000000003710,498566.6693,132,0.157407090706805
133,168,080011000000003715,2424942.875,133,1.0
134,170,080011000000003709,204150.0452,134,1.0
135,172,080011000000001104,104055.4466,135,1.0
136,174,080011000000003716,1910493.881,136,1.0
137,175,080011000000001102,58650.64389,137,1.0
138,176,080011000000000404,1002489.259,138,1.0
139,178,080011000000002401,191387.2099,139,1.0
140,179,080011000000002402,180468.3617,140,1.0
141,180,080011000000000224,36304.0984,141,0.0350234636446236
142,180,080011000000000225,349361.575,142,0.337037771494167
143,180,080011000000003702,650899.3782,143,0.62793876486121
144,181,080011000000001605,305186.2249,144,1.0
145,182,080011000000002504,270602.8726,145,1.0
146,183,080011000000000702,606892.3511,146,1.0
147,184,080011000000000703,349307.6764,147,1.0
148,185,080011000000000601,237215.1659,148,1.0
149,186,080011000000003708,1109418.246,149,1.0
150,188,080011000000003101,298646.9854,150,0.354067500013998
151,188,080011000000003707,544827.7345,151,0.645932499986002
